SOURCE	TARGET
وقف	وقف
اطلاق	إطلاق
الصواريخ	الصواريخ
من	من
غزة	غزة
مقابل	مقابل
رفع	رفع
الحصار	الحصار
عن	عن
غزة	غزة
.	.
وقف	وقف
اطلاق	إطلاق
الصواريخ	الصواريخ
من	من
غزة	غزة
مقابل	مقابل
رفع	رفع
الحصار	الحصار
عن	عن
غزة	غزة
	.

إلى	إلى
الإخوة	الإخوة
في	في
الجزيرة	الجزيرة
,	:
هؤلاء	هؤلاء
شهداء	شهداء
	،
وهم	وهم
خيرة	خيرة
الشهداء	الشهداء
	،
وهم	وهم
ليسوا	ليسوا
قتلى	قتلى
عاديين	عاديين
.	.
أرجو	أرجو
الله	الله
أن	أن
يكونوا	يكونوا
في	في
منزلة	منزلة
خيرة	خيرة
شهداء	شهداء
هذه	هذه
الأمة	الأمة
أمثال	أمثال
	:
حمزة	حمزة
	،
وعمر	وعمر
	،
وعلي	وعلى
	،
والحسين	والحسين
.	.
نرجو	نرجو
وصفهم	وصفهم
بالشهداء	بالشهداء
وليسوا	وليس
بالقتلى	بالقتلى
	،
وذلك	وذلك
إحتراما	احتراما
	،
وتقديرا	وتقديرا
	،
وإجلالا	وإجلالا
لهم	لهم
	،
وللشعب	وللشعب
السوري	السوري
العظيم	العظيم
	،
والله	والله
أعلم	أعلم
.	.

مصير	مصير
جميع	جميع
الإرهابيين	الإرهابيين
السحق	السحق
على	على
يد	يد
الجيش	الجيش
التركي	التركي
	.
ومن	ومن
يقول	يقول
لماذا	لماذا
لايقوم	لا يقوم
الجيش	الجيش
التركي	التركي
بالقضاء	بالقضاء
التام	التام
على	على
الإرهابيين	الإرهابيين
من	من
حزب	حزب
العمال	العمال
كما	كما
فعل	فعل
صدام	صدام
	،
أقول	أقول
له	له
أن	أن
الجيش	الجيش
التركي	التركي
يراعي	يراعي
ظروف	ظروف
المنطقة	المنطقة
واختباء	واختباء
الإرهابيين	الإرهابيين
ضمن	ضمن
تجمعات	تجمعات
الناس	الناس
في	في
المدن	المدن
إ	،
إضافة	إضافة
إلى	إلى
أن	أن
الجيش	الجيش
التركي	التركي
لايستخدم	لا يستخدم
أسلحة	أسلحة
دمار	دمار
شامل	شامل
وكيماوي	وكيماوي
كما	كما
فعل	فعل
صدام	صدام
	.

ثورة	ثورة
الآخرين	الآخرين
على	على
ارض	أرض
الشام	الشام
	،
